Дата отправления;Объем кузова;Станция отправления;Станция назначения;Наименование груза;Станция отправления код;Станция назн. код;Ставка с Заказчиком б/ндс, руб;Отправки УТК, в/о;Длительность
05.10.2022;122;Петропавловск;Галаба (эксп.);Мука пшеничная 1 сорта;82000;73640;105000,00;1;
05.10.2022;138;Тихоново;Аламедин;Плиты древесноволокнистые;64890;71690;125000,00;1;
05.10.2022;122;Костанай;Галаба (эксп.);Мука пшеничная, не поименованная в алфавите;68400;73640;105000,00;1;
05.10.2022;122;Костанай;Галаба (эксп.);Мука пшеничная, не поименованная в алфавите;68400;73640;105000,00;1;
05.10.2022;138;Татарская;Правый Берег;Ячмень;83300;61650;71666,67;1;
05.10.2022;138;Татьянка;Бишкек I;Средства для отбеливания, подсинивания и аппретирования;61200;71660;125000,00;1;
05.10.2022;138;Речная;Китой-Комбинатская;Изделия магнезито-хромитовые (перик-лазо-хромитовые);80670;93210;132879,19;1;
05.10.2022;122;Петропавловск;Серхетабат (эксп.);Мука пшеничная 1 сорта;82000;75620;140000,00;1;
05.10.2022;138;Шарья;Медеу;Плиты древесностружечные;30750;70020;120000,00;1;
05.10.2022;138;Шу;Иркутск-Сортировочный;Лук репчатый и сеянец;70460;93000;120000,00;1;
05.10.2022;138;Шу;Иркутск-Сортировочный;Лук репчатый и сеянец;70460;93000;120000,00;1;
05.10.2022;138;Шу;Иркутск-Сортировочный;Лук репчатый и сеянец;70460;93000;120000,00;1;
05.10.2022;138;Кая;Уршак (рзд);Шрот, содержащий не более 1.5 % масла и не более 11 % влаги;93280;65180;35000,00;1;
05.10.2022;138;Кая;Уршак (рзд);Шрот, содержащий не более 1.5 % масла и не более 11 % влаги;93280;65180;35253,33;1;
05.10.2022;138;Колпны;Яшкино;Сахар-песок;20890;87320;90000,00;1;
05.10.2022;138;Колпны;Яшкино;Сахар-песок;20890;87320;90000,00;1;
05.10.2022;138;Давыдово;Алматы 2;Сборная повагонная отправка;23170;70010;108000,00;1;
05.10.2022;138;Тараз;Иркутск-Сортировочный;Лук репчатый и сеянец;70630;93000;125000,00;1;
05.10.2022;150;Брест-Центральный (эксп.);Жанааул;Изделия кислотоупорные и огнеупорные, не поименованные в алфавите;13060;67410;120000,00;1;
05.10.2022;138;Сморгонь;Павлодар;Плиты древесноволокнистые;16330;69610;115000,00;1;
05.10.2022;150;Батарейная;Пурпе;Дистилляты масел смазочных;93260;79870;55000,00;1;
05.10.2022;150;Батарейная;Пурпе;Дистилляты масел смазочных;93260;79870;55000,00;1;
05.10.2022;138;Усть-Лабинская;Томск II;Сахар-песок;52580;87400;76056,50;1;
05.10.2022;138;Шу;Чита I;Лук репчатый и сеянец;70460;94000;145000,00;1;
05.10.2022;138;Шу;Хабаровск II;Лук репчатый и сеянец;70460;97000;215000,00;1;
05.10.2022;138;Шу;Уссурийск;Лук репчатый и сеянец;70460;98830;230000,00;1;
05.10.2022;138;Шу;Уссурийск;Лук репчатый и сеянец;70460;98830;230000,00;1;
05.10.2022;158;Жинишке;Маарду (эксп. через порт Мууга);Соли сернокислые (сульфаты), не поименованные в алфавите;66780;08220;77272,17;1;
06.10.2022;138;Уссурийск;Гродеково (эксп. КЖД);Зерно бобов;98830;98930;83000,00;1;
06.10.2022;138;Уссурийск;Гродеково (эксп. КЖД);Зерно бобов;98830;98930;83000,00;1;
06.10.2022;138;Уссурийск;Гродеково (эксп. КЖД);Зерно бобов;98830;98930;83000,00;1;
06.10.2022;138;Свислочь (эксп.);Фаниполь;Плитки керамические, не поименованные в алфавите;13570;14460;9038,01;1;
06.10.2022;138;Арзамас II;Егорьевск I;Смеси сухие строительные на основе смешанных вяжущих с массовой долей полимерной составляющей до 5% массы смеси и с минеральными заполнителями, кроме смесей с огнеупорными или пористыми заполнителями;24420;23340;39943,20;1;
06.10.2022;138;Обловка;Покровск-Приволжский;Сахар-песок;60200;62560;50000,00;1;
06.10.2022;138;Залари;Наушки (эксп. АО "УБЖД": участок Улаанбаатар (вкл.) и далее);Плиты и плитки гипсовые;93040;93710;85000,00;1;
06.10.2022;138;Речная;Стальная;Изделия магнезито-хромитовые (перик-лазо-хромитовые);80670;27460;95103,84;1;
06.10.2022;138;Арзамас II;Колпино;Смеси сухие строительные на основе смешанных вяжущих с массовой долей полимерной составляющей до 5% массы смеси и с минеральными заполнителями, кроме смесей с огнеупорными или пористыми заполнителями;24420;03160;67551,00;1;
06.10.2022;138;Ефремов;Круглое Поле;Крахмал, не поименованный в алфавите;22530;64840;60000,00;1;
06.10.2022;138;Муром I;Новороссийск (эксп.);Фанера клееная;24000;52100;120000,00;1;
06.10.2022;138;Муром I;Новороссийск (эксп.);Фанера клееная;24000;52100;120000,00;1;
06.10.2022;138;Муром I;Новороссийск (эксп.);Фанера клееная;24000;52100;120000,00;1;
06.10.2022;138;Арал Тенизи;Тамбов I;Концентрат минеральный "Галит";67030;60140;25000,00;1;
06.10.2022;138;Магнитогорск-Грузовой;Ярославль-Главный;Жесть всякая;81760;31000;59800,00;1;
06.10.2022;138;Заячья Горка;Сельцо;Селитра аммиачная;76940;17900;63333,33;1;
06.10.2022;150;Ворсма;Сочи;Плиты и плитки гипсовые;26920;53290;85173,00;1;
06.10.2022;150;Речная;Ачинск II;Изделия магнезитовые;80670;88380;149323,44;1;
06.10.2022;138;Несветай;Шершни;Ферросплавы, не поименованные в алфавите;51230;80020;50000,00;1;
06.10.2022;138;Шарья;Нур-Султан 1;Плиты древесностружечные;30750;69000;92000,00;1;
06.10.2022;138;Достык;Первоуральск;Купоросы, не поименованные в алфавите;70840;78170;30000,00;1;
06.10.2022;138;Барнаул;Назарбек;Плиты древесностружечные;84010;72220;130000,00;1;
06.10.2022;138;Черкесск;Челябинск-Грузовой;Воды минеральные, натуральные и искусственные;53100;80010;34833,33;1;
06.10.2022;138;Керамик;Краснодар-Сортировочный;Плитки керамические, не поименованные в алфавите;78100;52540;90000,00;1;
06.10.2022;150;Тимашевская;Шувакиш;Сахар-песок;51620;78020;50517,68;1;
06.10.2022;138;Тимашевская;Шувакиш;Сахар-песок;51620;78020;50535,34;1;
06.10.2022;138;Тимашевская;Шувакиш;Сахар-песок;51620;78020;50517,68;1;
